Company,Address,City,Decision Maker,Title,Phone,Email,kW Capacity,Est Cost (EUR),DM Source
Kekava Marble,"Kekava, Latvia",Kekava,Aivars Kalns,Production Director,+371 62027223,kekava.marble@company.lv,1181.25,826875,generated
Liepaja Electronics,"Liepaja, Latvia",Liepaja,Juris Kurmis,Managing Director,+371 66258742,liepaja.electronics@company.lv,2739.8,1917860,generated
Kekava Printing,"Kekava, Latvia",Kekava,Peteris Vitols,Operations Manager,+371 67108412,kekava.printing@company.lv,1181.25,826875,generated
Daugavpils Paper,"Daugavpils, Latvia",Daugavpils,Maris Kalns,CEO,+371 68396404,daugavpils.paper@company.lv,1181.25,826875,generated
Riga Rubber,"Riga, Latvia",Riga,Andris Kurmis,Operations Manager,+371 62004797,riga.rubber@company.lv,1588.3,1111810,generated
Kekava Leather,"Kekava, Latvia",Kekava,Armands Zariņš,Production Director,+371 62163382,kekava.leather@company.lv,1181.25,826875,generated
Cesis Packaging,"Cesis, Latvia",Cesis,Peteris Zariņš,CEO,+371 64008671,cesis.packaging@company.lv,1181.25,826875,generated
Valmiera Concrete,"Valmiera, Latvia",Valmiera,Janis Jansons,Operations Manager,+371 62660662,valmiera.concrete@company.lv,1439.55,1007685,generated
Ventspils Electronics,"Ventspils, Latvia",Ventspils,Peteris Eglitis,Owner,+371 68380393,ventspils.electronics@company.lv,2115.4,1480780,generated
Jelgava Aluminum,"Jelgava, Latvia",Jelgava,Gints Kalns,Managing Director,+371 67534391,jelgava.aluminum@company.lv,3147.9,2203530,generated
Ventspils Marble,"Ventspils, Latvia",Ventspils,Valdis Kurmis,Managing Director,+371 64223456,ventspils.marble@company.lv,1181.25,826875,generated
Cesis Marble,"Cesis, Latvia",Cesis,Gints Staņa,Production Director,+371 63776692,cesis.marble@company.lv,1181.25,826875,generated
Daugavpils Marble,"Daugavpils, Latvia",Daugavpils,Gints Jansons,CEO,+371 65346989,daugavpils.marble@company.lv,1181.25,826875,generated
Jekabpils Chemical,"Jekabpils, Latvia",Jekabpils,Kaspars Eglitis,Operations Manager,+371 65787340,jekabpils.chemical@company.lv,1181.25,826875,generated
Kekava Glass,"Kekava, Latvia",Kekava,Peteris Jansons,Managing Director,+371 62537088,kekava.glass@company.lv,1181.25,826875,generated
Kekava Construction,"Kekava, Latvia",Kekava,Kaspars Berzins,Operations Manager,+371 66646630,kekava.construction@company.lv,1181.25,826875,generated
Jekabpils Packaging,"Jekabpils, Latvia",Jekabpils,Maris Staņa,Managing Director,+371 62060321,jekabpils.packaging@company.lv,1181.25,826875,generated
Valmiera Textiles,"Valmiera, Latvia",Valmiera,Peteris Berzins,Managing Director,+371 62565394,valmiera.textiles@company.lv,1181.25,826875,generated
Valmiera Printing,"Valmiera, Latvia",Valmiera,Janis Zariņš,Owner,+371 66313054,valmiera.printing@company.lv,1183.0,828100,generated
Liepaja Printing,"Liepaja, Latvia",Liepaja,Maris Vitols,Production Director,+371 63797148,liepaja.printing@company.lv,1181.25,826875,generated
Kekava Plastics,"Kekava, Latvia",Kekava,Gints Kalns,Operations Manager,+371 66833613,kekava.plastics@company.lv,3147.2,2203040,generated
Ventspils Glass,"Ventspils, Latvia",Ventspils,Valdis Jansons,Production Director,+371 68773775,ventspils.glass@company.lv,1181.25,826875,generated
Cesis Construction,"Cesis, Latvia",Cesis,Aivars Jansons,Owner,+371 62813114,cesis.construction@company.lv,2326.1,1628270,generated
Jelgava Packaging,"Jelgava, Latvia",Jelgava,Aivars Zariņš,Production Director,+371 65448575,jelgava.packaging@company.lv,1181.25,826875,generated
Valmiera Electronics,"Valmiera, Latvia",Valmiera,Valdis Berzins,Owner,+371 62508455,valmiera.electronics@company.lv,1769.25,1238475,generated
Jelgava Marble,"Jelgava, Latvia",Jelgava,Aivars Zariņš,Owner,+371 64085880,jelgava.marble@company.lv,1181.25,826875,generated
Ventspils Rubber,"Ventspils, Latvia",Ventspils,Maris Jansons,Operations Manager,+371 65763243,ventspils.rubber@company.lv,1181.25,826875,generated
Kekava Construction,"Kekava, Latvia",Kekava,Andris Siliņš,Managing Director,+371 64336606,kekava.construction@company.lv,1181.25,826875,generated
Ventspils Furniture,"Ventspils, Latvia",Ventspils,Valdis Jansons,Owner,+371 65717250,ventspils.furniture@company.lv,1181.25,826875,generated
Daugavpils Concrete,"Daugavpils, Latvia",Daugavpils,Gints Ozols,Owner,+371 67470587,daugavpils.concrete@company.lv,3148.25,2203775,generated
Valmiera Leather,"Valmiera, Latvia",Valmiera,Gints Berzins,Owner,+371 68321365,valmiera.leather@company.lv,1181.25,826875,generated
Jekabpils Aluminum,"Jekabpils, Latvia",Jekabpils,Maris Kalns,Production Director,+371 66073853,jekabpils.aluminum@company.lv,1892.1,1324470,generated
Jelgava Printing,"Jelgava, Latvia",Jelgava,Valdis Jansons,Production Director,+371 62491869,jelgava.printing@company.lv,2953.65,2067555,generated
Valmiera Electronics,"Valmiera, Latvia",Valmiera,Andris Siliņš,Owner,+371 65275095,valmiera.electronics@company.lv,1769.25,1238475,generated
Riga Electronics,"Riga, Latvia",Riga,Juris Eglitis,CEO,+371 65548443,riga.electronics@company.lv,1586.55,1110585,generated
Ventspils Concrete,"Ventspils, Latvia",Ventspils,Gints Eglitis,Managing Director,+371 63592978,ventspils.concrete@company.lv,1181.25,826875,generated
Ventspils Rubber,"Ventspils, Latvia",Ventspils,Juris Jansons,Owner,+371 66858516,ventspils.rubber@company.lv,1181.25,826875,generated
Ogre Electronics,"Ogre, Latvia",Ogre,Gints Berzins,CEO,+371 62479537,ogre.electronics@company.lv,1181.25,826875,generated
Liepaja Marble,"Liepaja, Latvia",Liepaja,Janis Staņa,Production Director,+371 66218214,liepaja.marble@company.lv,2364.25,1654975,generated
Jelgava Metal,"Jelgava, Latvia",Jelgava,Gints Kalns,Owner,+371 66259974,jelgava.metal@company.lv,1181.25,826875,generated
Ogre Rubber,"Ogre, Latvia",Ogre,Peteris Kalns,Owner,+371 66991516,ogre.rubber@company.lv,3150.0,2205000,generated
Kekava Leather,"Kekava, Latvia",Kekava,Peteris Jansons,Production Director,+371 63005681,kekava.leather@company.lv,1181.25,826875,generated
Valmiera Rubber,"Valmiera, Latvia",Valmiera,Armands Jansons,Operations Manager,+371 66987188,valmiera.rubber@company.lv,3149.65,2204755,generated
Ventspils Packaging,"Ventspils, Latvia",Ventspils,Janis Staņa,Owner,+371 65516713,ventspils.packaging@company.lv,2554.3,1788010,generated
Ogre Metal,"Ogre, Latvia",Ogre,Armands Staņa,Operations Manager,+371 64653902,ogre.metal@company.lv,1181.25,826875,generated
Ogre Plastics,"Ogre, Latvia",Ogre,Juris Jansons,CEO,+371 64002242,ogre.plastics@company.lv,1181.25,826875,generated
Jekabpils Construction,"Jekabpils, Latvia",Jekabpils,Juris Siliņš,Managing Director,+371 67634545,jekabpils.construction@company.lv,1181.25,826875,generated
Cesis Leather,"Cesis, Latvia",Cesis,Juris Eglitis,CEO,+371 68307096,cesis.leather@company.lv,1181.25,826875,generated
Ventspils Paper,"Ventspils, Latvia",Ventspils,Peteris Berzins,Production Director,+371 67210661,ventspils.paper@company.lv,1181.25,826875,generated
Ventspils Beverage,"Ventspils, Latvia",Ventspils,Armands Ozols,Owner,+371 66510004,ventspils.beverage@company.lv,1181.25,826875,generated
Liepaja Beverage,"Liepaja, Latvia",Liepaja,Maris Kurmis,CEO,+371 63111126,liepaja.beverage@company.lv,1181.25,826875,generated
Cesis Electronics,"Cesis, Latvia",Cesis,Kaspars Ozols,Managing Director,+371 65099817,cesis.electronics@company.lv,3149.65,2204755,generated
Riga Packaging,"Riga, Latvia",Riga,Juris Kalns,Production Director,+371 68993959,riga.packaging@company.lv,1181.25,826875,generated
Cesis Furniture,"Cesis, Latvia",Cesis,Gints Vitols,Operations Manager,+371 68770445,cesis.furniture@company.lv,1181.25,826875,generated
Daugavpils Machinery,"Daugavpils, Latvia",Daugavpils,Gints Berzins,Operations Manager,+371 64511370,daugavpils.machinery@company.lv,1181.25,826875,generated
Jelgava Electronics,"Jelgava, Latvia",Jelgava,Peteris Kalns,CEO,+371 62968285,jelgava.electronics@company.lv,1181.25,826875,generated
Ogre Construction,"Ogre, Latvia",Ogre,Peteris Kurmis,Managing Director,+371 64284622,ogre.construction@company.lv,1181.25,826875,generated
Jelgava Electronics,"Jelgava, Latvia",Jelgava,Juris Staņa,Managing Director,+371 68019767,jelgava.electronics@company.lv,1181.25,826875,generated
Riga Rubber,"Riga, Latvia",Riga,Kaspars Jansons,CEO,+371 66239678,riga.rubber@company.lv,1588.3,1111810,generated
Kekava Food,"Kekava, Latvia",Kekava,Valdis Vitols,Owner,+371 62774255,kekava.food@company.lv,3146.5,2202550,generated
Cesis Beverage,"Cesis, Latvia",Cesis,Aivars Vitols,Owner,+371 62029743,cesis.beverage@company.lv,1512.7,1058890,generated
Jekabpils Paper,"Jekabpils, Latvia",Jekabpils,Kaspars Kalns,CEO,+371 63355447,jekabpils.paper@company.lv,1181.25,826875,generated
Cesis Construction,"Cesis, Latvia",Cesis,Valdis Kurmis,Production Director,+371 66705227,cesis.construction@company.lv,2326.1,1628270,generated
Ogre Aluminum,"Ogre, Latvia",Ogre,Janis Ozols,Owner,+371 67796692,ogre.aluminum@company.lv,1181.25,826875,generated
Ventspils Construction,"Ventspils, Latvia",Ventspils,Andris Kurmis,Owner,+371 65097208,ventspils.construction@company.lv,1181.25,826875,generated
Liepaja Food,"Liepaja, Latvia",Liepaja,Armands Kurmis,Managing Director,+371 65605312,liepaja.food@company.lv,1181.25,826875,generated
Ogre Glass,"Ogre, Latvia",Ogre,Andris Berzins,CEO,+371 65058918,ogre.glass@company.lv,1181.25,826875,generated
Cesis Packaging,"Cesis, Latvia",Cesis,Janis Zariņš,Managing Director,+371 67721590,cesis.packaging@company.lv,1181.25,826875,generated
Ogre Food,"Ogre, Latvia",Ogre,Maris Ozols,CEO,+371 68544089,ogre.food@company.lv,1181.25,826875,generated
Riga Beverage,"Riga, Latvia",Riga,Gints Siliņš,Operations Manager,+371 68287073,riga.beverage@company.lv,1181.25,826875,generated
Valmiera Furniture,"Valmiera, Latvia",Valmiera,Andris Jansons,Managing Director,+371 68709938,valmiera.furniture@company.lv,2301.95,1611364,generated
Ventspils Food,"Ventspils, Latvia",Ventspils,Andris Siliņš,Owner,+371 63504586,ventspils.food@company.lv,1460.2,1022140,generated
Kekava Leather,"Kekava, Latvia",Kekava,Kaspars Siliņš,Managing Director,+371 64238128,kekava.leather@company.lv,1181.25,826875,generated
Valmiera Machinery,"Valmiera, Latvia",Valmiera,Andris Ozols,Production Director,+371 62324845,valmiera.machinery@company.lv,1181.25,826875,generated
Jelgava Marble,"Jelgava, Latvia",Jelgava,Valdis Jansons,Managing Director,+371 68850024,jelgava.marble@company.lv,1181.25,826875,generated
Ventspils Metal,"Ventspils, Latvia",Ventspils,Valdis Zariņš,CEO,+371 68883158,ventspils.metal@company.lv,1181.25,826875,generated
Riga Beverage,"Riga, Latvia",Riga,Maris Jansons,Owner,+371 67536759,riga.beverage@company.lv,1181.25,826875,generated
Jelgava Food,"Jelgava, Latvia",Jelgava,Maris Siliņš,CEO,+371 64337091,jelgava.food@company.lv,1181.25,826875,generated
Liepaja Leather,"Liepaja, Latvia",Liepaja,Peteris Vitols,CEO,+371 67381138,liepaja.leather@company.lv,1181.25,826875,generated
Jekabpils Food,"Jekabpils, Latvia",Jekabpils,Gints Siliņš,Operations Manager,+371 64777886,jekabpils.food@company.lv,1547.0,1082900,generated
Liepaja Metal,"Liepaja, Latvia",Liepaja,Janis Ozols,CEO,+371 63497935,liepaja.metal@company.lv,2653.7,1857589,generated
Ogre Textiles,"Ogre, Latvia",Ogre,Armands Vitols,Owner,+371 62909346,ogre.textiles@company.lv,1181.25,826875,generated
Daugavpils Electronics,"Daugavpils, Latvia",Daugavpils,Armands Siliņš,CEO,+371 68111478,daugavpils.electronics@company.lv,1181.25,826875,generated
Valmiera Leather,"Valmiera, Latvia",Valmiera,Kaspars Siliņš,Operations Manager,+371 66290127,valmiera.leather@company.lv,1181.25,826875,generated
Cesis Marble,"Cesis, Latvia",Cesis,Peteris Siliņš,Operations Manager,+371 63594496,cesis.marble@company.lv,1181.25,826875,generated
Daugavpils Rubber,"Daugavpils, Latvia",Daugavpils,Juris Berzins,Production Director,+371 62014187,daugavpils.rubber@company.lv,1181.25,826875,generated
Jekabpils Food,"Jekabpils, Latvia",Jekabpils,Gints Kurmis,Managing Director,+371 65055311,jekabpils.food@company.lv,1547.0,1082900,generated
Ogre Food,"Ogre, Latvia",Ogre,Aivars Ozols,CEO,+371 67227406,ogre.food@company.lv,1181.25,826875,generated
Ogre Marble,"Ogre, Latvia",Ogre,Kaspars Ozols,CEO,+371 66254051,ogre.marble@company.lv,1181.25,826875,generated
Daugavpils Steel,"Daugavpils, Latvia",Daugavpils,Juris Siliņš,CEO,+371 65375579,daugavpils.steel@company.lv,3078.95,2155265,generated
Kekava Beverage,"Kekava, Latvia",Kekava,Juris Kurmis,Managing Director,+371 63609271,kekava.beverage@company.lv,1181.25,826875,generated
Kekava Chemical,"Kekava, Latvia",Kekava,Aivars Siliņš,Managing Director,+371 67163313,kekava.chemical@company.lv,1181.25,826875,generated
Liepaja Leather,"Liepaja, Latvia",Liepaja,Armands Vitols,Production Director,+371 66596430,liepaja.leather@company.lv,1181.25,826875,generated
Kekava Textiles,"Kekava, Latvia",Kekava,Janis Vitols,CEO,+371 63763140,kekava.textiles@company.lv,1181.25,826875,generated
Daugavpils Food,"Daugavpils, Latvia",Daugavpils,Aivars Staņa,Operations Manager,+371 67492068,daugavpils.food@company.lv,1710.1,1197070,generated
Ogre Rubber,"Ogre, Latvia",Ogre,Kaspars Eglitis,Production Director,+371 65709105,ogre.rubber@company.lv,3150.0,2205000,generated
Kekava Automotive,"Kekava, Latvia",Kekava,Maris Kurmis,Production Director,+371 68658335,kekava.automotive@company.lv,1181.25,826875,generated
Daugavpils Packaging,"Daugavpils, Latvia",Daugavpils,Andris Ozols,CEO,+371 66323924,daugavpils.packaging@company.lv,1181.25,826875,generated
Daugavpils Steel,"Daugavpils, Latvia",Daugavpils,Armands Zariņš,Owner,+371 68865433,daugavpils.steel@company.lv,3078.95,2155265,generated
Valmiera Beverage,"Valmiera, Latvia",Valmiera,Maris Vitols,Managing Director,+371 68765939,valmiera.beverage@company.lv,1347.85,943494,generated
Cesis Packaging,"Cesis, Latvia",Cesis,Maris Kalns,Owner,+371 62387668,cesis.packaging@company.lv,1181.25,826875,generated
Ogre Electronics,"Ogre, Latvia",Ogre,Maris Eglitis,Operations Manager,+371 68446555,ogre.electronics@company.lv,1181.25,826875,generated
Jelgava Plastics,"Jelgava, Latvia",Jelgava,Peteris Eglitis,Production Director,+371 67282854,jelgava.plastics@company.lv,1181.25,826875,generated
Valmiera Packaging,"Valmiera, Latvia",Valmiera,Armands Jansons,Production Director,+371 66147136,valmiera.packaging@company.lv,1181.25,826875,generated
Cesis Electronics,"Cesis, Latvia",Cesis,Aivars Jansons,Managing Director,+371 67503413,cesis.electronics@company.lv,3149.65,2204755,generated
Kekava Beverage,"Kekava, Latvia",Kekava,Janis Ozols,Production Director,+371 63835772,kekava.beverage@company.lv,1181.25,826875,generated
