Company,Address,City,Decision Maker,Title,Phone,Email,kW Capacity,Est Cost (EUR)
PREMIUM,"Liepajas iela 45, Riga, Latvia",,Aldis Eglītis,Owner,+371 67220000,info@premium.lv,2029.3,
Forbo,"Kurzemes prospekts 112, Riga, Latvia",,Ainars Veinbergs,Director,+371 67871111,forbo@forbo.lv,2320.85,
Gerhard,"Daugavgrivas iela 102, Riga, Latvia",,Kristians Gerhard,CEO,+371 67345555,gerhard@gerhard.lv,1979.95,
Lode,"Krustpils iela 135, Riga, Latvia",,Gints Pērkons,Director,+371 67290000,lode@lode.lv,2086.7,
Krass,"Lubanas iela 155, Riga, Latvia",,Kaspars Krasts,Owner,+371 67812222,krass@krass.lv,2199.75,
Norgips,"Kurzemes prospekts 125, Riga, Latvia",,Mārtiņš Krūmiņš,Manager,+371 67890000,norgips@norgips.lv,2206.4,
Sent,"Daugavgrivas iela 115, Riga, Latvia",,Ričards Ginters,Director,+371 67320000,sent@sent.lv,2130.45,
Bermas,"Ventspils iela 78, Riga, Latvia",,Vitauts Ļubimovs,Director,+371 63670000,bermas@bermas.lv,1947.05,
Gortex,"Katlakalna iela 25, Riga, Latvia",,Pēteris Zeltins,Owner,+371 67275555,gortex@gortex.lv,2720.9,
Len,"Lokomotives iela 35, Riga, Latvia",,Zigmunds Liepiņš,Director,+371 67212222,len@len.lv,2355.15,
Tera,"Stacijas iela 38, Daugavpils, Latvia",,Juris Jakovlevs,Manager,+371 65400000,tera@tera.lv,2273.25,
Lenda,"Gustava iela 15, Riga, Latvia",,Valdis Siliņš,Owner,+371 67280000,lenda@lenda.lv,2177.0,
Vests,"Kurzemes iela 55, Ventspils, Latvia",,Andris Auziņš,Director,+371 63620000,vests@vests.lv,2381.4,
Sakart,"Loka iela 35, Jelgava, Latvia",,Edgars Bērziņš,Owner,+371 63028888,sakart@sakart.lv,2418.15,
Riga Plastics Factory,"Gustava iela 20, Riga, Latvia",,Peteris Ozols,Owner,+371 67223344,info@rigaplastics.lv,2108.05,
Jelgava Paper 0,"Jelgava, Latvia",Jelgava,Janis Vitols,Owner,+371 68450473,jelgava.paper.0@company.lv,2454.9,1718430
Jekabpils Automotive 1,"Jekabpils, Latvia",Jekabpils,Aivars Vitols,Owner,+371 62320056,jekabpils.automotive.1@company.lv,1659.7,1161790
Kekava Metal 2,"Kekava, Latvia",Kekava,Aivars Zarins,CEO,+371 62435382,kekava.metal.2@company.lv,875.0,612500
Kekava Printing 3,"Kekava, Latvia",Kekava,Andris Kalns,CEO,+371 66705690,kekava.printing.3@company.lv,875.0,612500
Liepaja Wood 4,"Liepaja, Latvia",Liepaja,Kaspars Jansons,Managing Director,+371 62014013,liepaja.wood.4@company.lv,875.0,612500
Riga Beverage 5,"Riga, Latvia",Riga,Aivars Ozols,Operations Manager,+371 62586170,riga.beverage.5@company.lv,1045.8,732060
Jelgava Plastics 6,"Jelgava, Latvia",Jelgava,Janis Zarins,Operations Manager,+371 62855946,jelgava.plastics.6@company.lv,2436.35,1705445
Cesis Plastics 7,"Cesis, Latvia",Cesis,Janis Ozols,Managing Director,+371 63059059,cesis.plastics.7@company.lv,875.0,612500
Jekabpils Electronics 8,"Jekabpils, Latvia",Jekabpils,Janis Vitols,Operations Manager,+371 66810095,jekabpils.electronics.8@company.lv,875.0,612500
Riga Furniture 9,"Riga, Latvia",Riga,Valdis Vitols,Operations Manager,+371 62308225,riga.furniture.9@company.lv,1259.65,881755
Liepaja Wood 10,"Liepaja, Latvia",Liepaja,Juris Zarins,Operations Manager,+371 63735288,liepaja.wood.10@company.lv,875.0,612500
Ventspils Paper 11,"Ventspils, Latvia",Ventspils,Kaspars Berzins,Operations Manager,+371 68453180,ventspils.paper.11@company.lv,2622.55,1835785
Ogre Machinery 12,"Ogre, Latvia",Ogre,Aivars Eglitis,Operations Manager,+371 65141715,ogre.machinery.12@company.lv,1073.8,751660
Ogre Machinery 13,"Ogre, Latvia",Ogre,Janis Kalns,Owner,+371 66084456,ogre.machinery.13@company.lv,875.0,612500
Jelgava Wood 14,"Jelgava, Latvia",Jelgava,Juris Kalns,CEO,+371 64826257,jelgava.wood.14@company.lv,875.0,612500
Riga Automotive 15,"Riga, Latvia",Riga,Aivars Ozols,Operations Manager,+371 65251891,riga.automotive.15@company.lv,875.0,612500
Daugavpils Automotive 16,"Daugavpils, Latvia",Daugavpils,Kaspars Berzins,Managing Director,+371 66917416,daugavpils.automotive.16@company.lv,875.0,612500
Kekava Machinery 17,"Kekava, Latvia",Kekava,Peteris Zarins,Owner,+371 64952065,kekava.machinery.17@company.lv,999.25,699475
Riga Automotive 18,"Riga, Latvia",Riga,Maris Silins,Owner,+371 67358649,riga.automotive.18@company.lv,2453.5,1717450
Ventspils Food 19,"Ventspils, Latvia",Ventspils,Juris Eglitis,Managing Director,+371 66564829,ventspils.food.19@company.lv,875.0,612500
Kekava Furniture 20,"Kekava, Latvia",Kekava,Valdis Kalns,Managing Director,+371 66499481,kekava.furniture.20@company.lv,875.0,612500
Daugavpils Chemical 21,"Daugavpils, Latvia",Daugavpils,Valdis Silins,Operations Manager,+371 62370188,daugavpils.chemical.21@company.lv,875.0,612500
Jekabpils Plastics 22,"Jekabpils, Latvia",Jekabpils,Janis Kalns,Operations Manager,+371 63620485,jekabpils.plastics.22@company.lv,1604.05,1122835
Valmiera Textiles 23,"Valmiera, Latvia",Valmiera,Janis Vitols,CEO,+371 67745914,valmiera.textiles.23@company.lv,875.0,612500
Valmiera Electronics 24,"Valmiera, Latvia",Valmiera,Juris Silins,Operations Manager,+371 62002980,valmiera.electronics.24@company.lv,875.0,612500
Daugavpils Printing 25,"Daugavpils, Latvia",Daugavpils,Peteris Ozols,CEO,+371 67931186,daugavpils.printing.25@company.lv,1660.4,1162280
Daugavpils Glass 26,"Daugavpils, Latvia",Daugavpils,Peteris Ozols,Operations Manager,+371 62071816,daugavpils.glass.26@company.lv,2388.4,1671880
Riga Printing 27,"Riga, Latvia",Riga,Aivars Ozols,Operations Manager,+371 62244417,riga.printing.27@company.lv,875.0,612500
Kekava Printing 28,"Kekava, Latvia",Kekava,Kaspars Vitols,Operations Manager,+371 62277085,kekava.printing.28@company.lv,875.0,612500
Cesis Food 29,"Cesis, Latvia",Cesis,Kaspars Silins,CEO,+371 62199583,cesis.food.29@company.lv,1174.95,822465
Ogre Paper 30,"Ogre, Latvia",Ogre,Andris Silins,Owner,+371 68020654,ogre.paper.30@company.lv,875.0,612500
Daugavpils Paper 31,"Daugavpils, Latvia",Daugavpils,Andris Zarins,Managing Director,+371 68242080,daugavpils.paper.31@company.lv,875.0,612500
Jekabpils Plastics 32,"Jekabpils, Latvia",Jekabpils,Peteris Berzins,Operations Manager,+371 66509181,jekabpils.plastics.32@company.lv,875.0,612500
Valmiera Textiles 33,"Valmiera, Latvia",Valmiera,Juris Kalns,CEO,+371 68510675,valmiera.textiles.33@company.lv,2039.8,1427860
Cesis Printing 34,"Cesis, Latvia",Cesis,Aivars Zarins,Managing Director,+371 66487238,cesis.printing.34@company.lv,875.0,612500
Valmiera Metal 35,"Valmiera, Latvia",Valmiera,Kaspars Ozols,Managing Director,+371 68729984,valmiera.metal.35@company.lv,1219.75,853825
Riga Food 36,"Riga, Latvia",Riga,Aivars Silins,Owner,+371 68218981,riga.food.36@company.lv,1259.3,881510
Kekava Automotive 37,"Kekava, Latvia",Kekava,Andris Eglitis,Owner,+371 64932151,kekava.automotive.37@company.lv,1462.3,1023610
Cesis Glass 38,"Cesis, Latvia",Cesis,Valdis Eglitis,CEO,+371 65598786,cesis.glass.38@company.lv,875.0,612500
Liepaja Chemical 39,"Liepaja, Latvia",Liepaja,Janis Kalns,CEO,+371 66335589,liepaja.chemical.39@company.lv,875.0,612500
Ventspils Printing 40,"Ventspils, Latvia",Ventspils,Andris Zarins,Owner,+371 66575631,ventspils.printing.40@company.lv,875.0,612500
Cesis Glass 41,"Cesis, Latvia",Cesis,Kaspars Jansons,CEO,+371 62778940,cesis.glass.41@company.lv,1233.4,863380
Liepaja Wood 42,"Liepaja, Latvia",Liepaja,Juris Jansons,Managing Director,+371 64701611,liepaja.wood.42@company.lv,1143.1,800169
Daugavpils Furniture 43,"Daugavpils, Latvia",Daugavpils,Juris Silins,Owner,+371 66198895,daugavpils.furniture.43@company.lv,875.0,612500
Ogre Construction 44,"Ogre, Latvia",Ogre,Peteris Jansons,Managing Director,+371 68359530,ogre.construction.44@company.lv,1690.15,1183105
Ogre Electronics 45,"Ogre, Latvia",Ogre,Janis Jansons,CEO,+371 66736413,ogre.electronics.45@company.lv,2625.0,1837500
Riga Plastics 46,"Riga, Latvia",Riga,Maris Ozols,CEO,+371 62702469,riga.plastics.46@company.lv,875.0,612500
Riga Glass 47,"Riga, Latvia",Riga,Kaspars Kalns,Managing Director,+371 68594117,riga.glass.47@company.lv,2621.15,1834805
Liepaja Glass 48,"Liepaja, Latvia",Liepaja,Valdis Eglitis,Operations Manager,+371 68517566,liepaja.glass.48@company.lv,875.0,612500
Riga Chemical 49,"Riga, Latvia",Riga,Janis Vitols,Operations Manager,+371 64856503,riga.chemical.49@company.lv,875.0,612500
Daugavpils Printing 0,"Daugavpils, Latvia",Daugavpils,Aivars Jansons,Managing Director,+371 67114961,daugavpils.printing.0@company.lv,2585.8,1810060
Ventspils Plastics 1,"Ventspils, Latvia",Ventspils,Janis Eglitis,CEO,+371 67836643,ventspils.plastics.1@company.lv,2382.8,1667960
Cesis Automotive 2,"Cesis, Latvia",Cesis,Peteris Berzins,CEO,+371 65865147,cesis.automotive.2@company.lv,1337.7,936390
Kekava Food 3,"Kekava, Latvia",Kekava,Kaspars Silins,CEO,+371 65008746,kekava.food.3@company.lv,875.0,612500
Ventspils Metal 4,"Ventspils, Latvia",Ventspils,Maris Eglitis,CEO,+371 68807023,ventspils.metal.4@company.lv,2388.4,1671880
Valmiera Furniture 5,"Valmiera, Latvia",Valmiera,Maris Kalns,Operations Manager,+371 68761958,valmiera.furniture.5@company.lv,875.0,612500
Jelgava Construction 6,"Jelgava, Latvia",Jelgava,Janis Silins,Operations Manager,+371 66198286,jelgava.construction.6@company.lv,1591.8,1114260
Cesis Textiles 7,"Cesis, Latvia",Cesis,Juris Kalns,Operations Manager,+371 65091346,cesis.textiles.7@company.lv,875.0,612500
Valmiera Construction 8,"Valmiera, Latvia",Valmiera,Peteris Vitols,Owner,+371 64226471,valmiera.construction.8@company.lv,875.0,612500
Liepaja Furniture 9,"Liepaja, Latvia",Liepaja,Kaspars Berzins,Operations Manager,+371 62432885,liepaja.furniture.9@company.lv,875.0,612500
Riga Paper 10,"Riga, Latvia",Riga,Aivars Vitols,Owner,+371 65905300,riga.paper.10@company.lv,875.0,612500
Cesis Printing 11,"Cesis, Latvia",Cesis,Kaspars Jansons,Operations Manager,+371 64230650,cesis.printing.11@company.lv,1210.3,847210
Jelgava Construction 12,"Jelgava, Latvia",Jelgava,Valdis Zarins,Managing Director,+371 67792067,jelgava.construction.12@company.lv,972.65,680855
Liepaja Chemical 13,"Liepaja, Latvia",Liepaja,Valdis Vitols,CEO,+371 62409100,liepaja.chemical.13@company.lv,875.0,612500
Jekabpils Automotive 14,"Jekabpils, Latvia",Jekabpils,Andris Ozols,Owner,+371 65591330,jekabpils.automotive.14@company.lv,875.0,612500
Daugavpils Electronics 15,"Daugavpils, Latvia",Daugavpils,Valdis Kalns,Operations Manager,+371 66488791,daugavpils.electronics.15@company.lv,2283.75,1598625
Kekava Paper 16,"Kekava, Latvia",Kekava,Janis Eglitis,Managing Director,+371 64733352,kekava.paper.16@company.lv,891.45,624015
Valmiera Automotive 17,"Valmiera, Latvia",Valmiera,Kaspars Jansons,Owner,+371 65887333,valmiera.automotive.17@company.lv,875.0,612500
Valmiera Metal 18,"Valmiera, Latvia",Valmiera,Juris Berzins,CEO,+371 68122377,valmiera.metal.18@company.lv,875.0,612500
Cesis Furniture 19,"Cesis, Latvia",Cesis,Aivars Jansons,Owner,+371 64125354,cesis.furniture.19@company.lv,2618.0,1832600
Riga Food 20,"Riga, Latvia",Riga,Juris Kalns,Operations Manager,+371 64999981,riga.food.20@company.lv,2593.85,1815695
Daugavpils Beverage 21,"Daugavpils, Latvia",Daugavpils,Aivars Berzins,Owner,+371 66167541,daugavpils.beverage.21@company.lv,1360.45,952315
Jekabpils Plastics 22,"Jekabpils, Latvia",Jekabpils,Andris Jansons,Owner,+371 64260308,jekabpils.plastics.22@company.lv,877.8,614460
Ventspils Textiles 23,"Ventspils, Latvia",Ventspils,Andris Jansons,CEO,+371 66192950,ventspils.textiles.23@company.lv,875.0,612500
Jekabpils Plastics 24,"Jekabpils, Latvia",Jekabpils,Valdis Jansons,CEO,+371 66427594,jekabpils.plastics.24@company.lv,875.0,612500
Ventspils Textiles 25,"Ventspils, Latvia",Ventspils,Peteris Ozols,Operations Manager,+371 67141053,ventspils.textiles.25@company.lv,2325.4,1627780
Cesis Plastics 26,"Cesis, Latvia",Cesis,Juris Jansons,Owner,+371 67330859,cesis.plastics.26@company.lv,875.0,612500
Cesis Electronics 27,"Cesis, Latvia",Cesis,Aivars Silins,Operations Manager,+371 62930699,cesis.electronics.27@company.lv,875.0,612500
Riga Plastics 28,"Riga, Latvia",Riga,Janis Silins,Operations Manager,+371 66339355,riga.plastics.28@company.lv,2181.2,1526839
Ogre Food 29,"Ogre, Latvia",Ogre,Kaspars Kalns,Operations Manager,+371 63128775,ogre.food.29@company.lv,2481.5,1737050
Jekabpils Food 30,"Jekabpils, Latvia",Jekabpils,Maris Jansons,Managing Director,+371 62315048,jekabpils.food.30@company.lv,875.0,612500
Valmiera Furniture 31,"Valmiera, Latvia",Valmiera,Maris Jansons,Owner,+371 65386067,valmiera.furniture.31@company.lv,875.0,612500
Jelgava Automotive 32,"Jelgava, Latvia",Jelgava,Janis Berzins,Operations Manager,+371 67504717,jelgava.automotive.32@company.lv,875.0,612500
Ogre Machinery 33,"Ogre, Latvia",Ogre,Kaspars Berzins,Owner,+371 64068056,ogre.machinery.33@company.lv,1756.3,1229410
Jelgava Electronics 34,"Jelgava, Latvia",Jelgava,Aivars Vitols,Managing Director,+371 64551685,jelgava.electronics.34@company.lv,875.0,612500
Cesis Construction 35,"Cesis, Latvia",Cesis,Peteris Vitols,CEO,+371 63778478,cesis.construction.35@company.lv,885.5,619850
Riga Food 36,"Riga, Latvia",Riga,Janis Zarins,Managing Director,+371 65908214,riga.food.36@company.lv,2604.0,1822800
Ventspils Construction 37,"Ventspils, Latvia",Ventspils,Maris Silins,Managing Director,+371 66282831,ventspils.construction.37@company.lv,1383.2,968240
Kekava Construction 38,"Kekava, Latvia",Kekava,Aivars Silins,Managing Director,+371 65272285,kekava.construction.38@company.lv,2118.2,1482739
Valmiera Beverage 39,"Valmiera, Latvia",Valmiera,Peteris Eglitis,Owner,+371 64405733,valmiera.beverage.39@company.lv,1338.4,936880
Ventspils Chemical 40,"Ventspils, Latvia",Ventspils,Andris Eglitis,Owner,+371 63056786,ventspils.chemical.40@company.lv,875.0,612500
Kekava Textiles 41,"Kekava, Latvia",Kekava,Peteris Eglitis,CEO,+371 66628835,kekava.textiles.41@company.lv,875.0,612500
Jelgava Construction 42,"Jelgava, Latvia",Jelgava,Janis Eglitis,CEO,+371 64422265,jelgava.construction.42@company.lv,875.0,612500
Kekava Construction 43,"Kekava, Latvia",Kekava,Kaspars Jansons,Operations Manager,+371 62396239,kekava.construction.43@company.lv,1868.65,1308055
Daugavpils Chemical 44,"Daugavpils, Latvia",Daugavpils,Peteris Ozols,CEO,+371 68175160,daugavpils.chemical.44@company.lv,875.0,612500
Ogre Beverage 45,"Ogre, Latvia",Ogre,Peteris Jansons,Operations Manager,+371 63508243,ogre.beverage.45@company.lv,1114.75,780325
Valmiera Paper 46,"Valmiera, Latvia",Valmiera,Aivars Kalns,Operations Manager,+371 63179207,valmiera.paper.46@company.lv,875.0,612500
Ogre Chemical 47,"Ogre, Latvia",Ogre,Janis Kalns,Owner,+371 64776840,ogre.chemical.47@company.lv,1525.3,1067710
Riga Construction 48,"Riga, Latvia",Riga,Janis Ozols,Managing Director,+371 63837717,riga.construction.48@company.lv,875.0,612500
Cesis Glass 49,"Cesis, Latvia",Cesis,Valdis Silins,Managing Director,+371 67547433,cesis.glass.49@company.lv,875.0,612500
Jelgava Construction 0,"Jelgava, Latvia",Jelgava,Aivars Berzins,Owner,+371 63272530,jelgava.construction.0@company.lv,875.0,612500
Daugavpils Metal 1,"Daugavpils, Latvia",Daugavpils,Peteris Eglitis,Owner,+371 63126839,daugavpils.metal.1@company.lv,875.0,612500
Jekabpils Metal 2,"Jekabpils, Latvia",Jekabpils,Janis Zarins,Operations Manager,+371 68811704,jekabpils.metal.2@company.lv,875.0,612500
Jekabpils Paper 3,"Jekabpils, Latvia",Jekabpils,Maris Jansons,Managing Director,+371 68583170,jekabpils.paper.3@company.lv,875.0,612500
Jekabpils Construction 4,"Jekabpils, Latvia",Jekabpils,Aivars Zarins,Managing Director,+371 62749967,jekabpils.construction.4@company.lv,875.0,612500
Jekabpils Construction 5,"Jekabpils, Latvia",Jekabpils,Janis Vitols,CEO,+371 67613274,jekabpils.construction.5@company.lv,875.0,612500
Ogre Wood 6,"Ogre, Latvia",Ogre,Aivars Zarins,Managing Director,+371 68833797,ogre.wood.6@company.lv,875.0,612500
Ogre Textiles 7,"Ogre, Latvia",Ogre,Janis Berzins,Owner,+371 62925500,ogre.textiles.7@company.lv,1004.5,703150
Ogre Beverage 8,"Ogre, Latvia",Ogre,Maris Vitols,Managing Director,+371 63049535,ogre.beverage.8@company.lv,875.0,612500
Jelgava Printing 9,"Jelgava, Latvia",Jelgava,Janis Vitols,Operations Manager,+371 66657192,jelgava.printing.9@company.lv,875.0,612500
Ogre Paper 10,"Ogre, Latvia",Ogre,Kaspars Zarins,Managing Director,+371 65496927,ogre.paper.10@company.lv,1374.45,962115
Daugavpils Chemical 11,"Daugavpils, Latvia",Daugavpils,Janis Vitols,CEO,+371 64629606,daugavpils.chemical.11@company.lv,2523.15,1766205
Ogre Textiles 12,"Ogre, Latvia",Ogre,Janis Zarins,Owner,+371 67424107,ogre.textiles.12@company.lv,875.0,612500
Ogre Metal 13,"Ogre, Latvia",Ogre,Juris Ozols,Operations Manager,+371 68036604,ogre.metal.13@company.lv,1325.1,927569
Valmiera Beverage 14,"Valmiera, Latvia",Valmiera,Andris Zarins,Operations Manager,+371 62877601,valmiera.beverage.14@company.lv,2584.4,1809080
Valmiera Plastics 15,"Valmiera, Latvia",Valmiera,Maris Silins,Owner,+371 63607927,valmiera.plastics.15@company.lv,875.0,612500
Ogre Automotive 16,"Ogre, Latvia",Ogre,Maris Zarins,Operations Manager,+371 68526509,ogre.automotive.16@company.lv,875.0,612500
Ventspils Machinery 17,"Ventspils, Latvia",Ventspils,Valdis Vitols,Managing Director,+371 65248818,ventspils.machinery.17@company.lv,875.0,612500
Valmiera Electronics 18,"Valmiera, Latvia",Valmiera,Janis Vitols,Owner,+371 68412021,valmiera.electronics.18@company.lv,875.0,612500
Kekava Metal 19,"Kekava, Latvia",Kekava,Andris Jansons,CEO,+371 63543525,kekava.metal.19@company.lv,875.0,612500
Jelgava Machinery 20,"Jelgava, Latvia",Jelgava,Peteris Kalns,Owner,+371 64268701,jelgava.machinery.20@company.lv,2105.95,1474164
Cesis Wood 21,"Cesis, Latvia",Cesis,Peteris Ozols,CEO,+371 62476313,cesis.wood.21@company.lv,875.0,612500
Valmiera Machinery 22,"Valmiera, Latvia",Valmiera,Juris Zarins,Managing Director,+371 64114531,valmiera.machinery.22@company.lv,875.0,612500
Riga Construction 23,"Riga, Latvia",Riga,Aivars Ozols,CEO,+371 66357206,riga.construction.23@company.lv,875.0,612500
Cesis Paper 24,"Cesis, Latvia",Cesis,Peteris Ozols,CEO,+371 64406680,cesis.paper.24@company.lv,1308.3,915810
Liepaja Electronics 25,"Liepaja, Latvia",Liepaja,Juris Eglitis,Managing Director,+371 62044885,liepaja.electronics.25@company.lv,878.15,614705
Jelgava Wood 26,"Jelgava, Latvia",Jelgava,Peteris Ozols,Owner,+371 68436997,jelgava.wood.26@company.lv,875.0,612500
Daugavpils Electronics 27,"Daugavpils, Latvia",Daugavpils,Valdis Silins,CEO,+371 67654661,daugavpils.electronics.27@company.lv,875.0,612500
Liepaja Automotive 28,"Liepaja, Latvia",Liepaja,Andris Kalns,Operations Manager,+371 62002922,liepaja.automotive.28@company.lv,2286.2,1600339
Ventspils Plastics 29,"Ventspils, Latvia",Ventspils,Aivars Jansons,Managing Director,+371 62035843,ventspils.plastics.29@company.lv,875.0,612500
Kekava Wood 30,"Kekava, Latvia",Kekava,Aivars Kalns,Owner,+371 63465084,kekava.wood.30@company.lv,875.0,612500
Valmiera Printing 31,"Valmiera, Latvia",Valmiera,Juris Silins,Managing Director,+371 68521238,valmiera.printing.31@company.lv,875.0,612500
Ventspils Construction 32,"Ventspils, Latvia",Ventspils,Aivars Vitols,Owner,+371 62199878,ventspils.construction.32@company.lv,2604.35,1823045
Liepaja Metal 33,"Liepaja, Latvia",Liepaja,Peteris Silins,CEO,+371 66768275,liepaja.metal.33@company.lv,875.0,612500
Kekava Paper 34,"Kekava, Latvia",Kekava,Janis Jansons,CEO,+371 64612262,kekava.paper.34@company.lv,875.0,612500
Ventspils Printing 35,"Ventspils, Latvia",Ventspils,Kaspars Berzins,Managing Director,+371 64584647,ventspils.printing.35@company.lv,875.0,612500
Daugavpils Glass 36,"Daugavpils, Latvia",Daugavpils,Juris Jansons,Operations Manager,+371 63778110,daugavpils.glass.36@company.lv,995.05,696535
Ogre Glass 37,"Ogre, Latvia",Ogre,Valdis Berzins,Operations Manager,+371 62550814,ogre.glass.37@company.lv,875.0,612500
Ogre Printing 38,"Ogre, Latvia",Ogre,Andris Kalns,Owner,+371 66612725,ogre.printing.38@company.lv,2163.0,1514100
Jekabpils Electronics 39,"Jekabpils, Latvia",Jekabpils,Maris Ozols,Operations Manager,+371 66851051,jekabpils.electronics.39@company.lv,1454.95,1018465
Cesis Beverage 40,"Cesis, Latvia",Cesis,Maris Silins,Operations Manager,+371 67965483,cesis.beverage.40@company.lv,1427.65,999355
Valmiera Construction 41,"Valmiera, Latvia",Valmiera,Kaspars Ozols,Managing Director,+371 62752381,valmiera.construction.41@company.lv,875.0,612500
Cesis Glass 42,"Cesis, Latvia",Cesis,Valdis Berzins,CEO,+371 67882984,cesis.glass.42@company.lv,875.0,612500
Riga Wood 43,"Riga, Latvia",Riga,Janis Jansons,Owner,+371 63310177,riga.wood.43@company.lv,875.0,612500
