id,company,address,city,lat,lng,decision_maker,title,phone,email,capacity_kw,cost_eur,image,source,state,notes,last_contact,industry
66,Ventspils Concrete,"Ventspils, Latvia",Ventspils,57.43713,21.56215,Maris Ozols,Owner,+371 67547078,ventspils.concrete@company.lv,1181.25,826875,docs/images/Ventspils_Concrete_sat.jpg,generated,cold,,,
67,Jekabpils Chemical,"Jekabpils, Latvia",Jekabpils,56.54307,25.84344,Maris Vitols,Owner,+371 63952791,jekabpils.chemical@company.lv,1181.25,826875,docs/images/Jekabpils_Chemical_sat.jpg,generated,cold,,,
68,Liepaja Steel,"Liepaja, Latvia",Liepaja,56.50323,21.02491,Peteris Siliņš,CEO,+371 65803481,liepaja.steel@company.lv,1181.25,826875,docs/images/Liepaja_Steel_sat.jpg,generated,cold,,,
69,Riga Paper,"Riga, Latvia",Riga,56.92739,24.12494,Kaspars Kalns,CEO,+371 64980226,riga.paper@company.lv,1843.1,1290170,docs/images/Riga_Paper_sat.jpg,generated,cold,,,
70,Daugavpils Marble,"Daugavpils, Latvia",Daugavpils,55.8275,26.49275,Maris Vitols,Owner,+371 67109761,daugavpils.marble@company.lv,1181.25,826875,docs/images/Daugavpils_Marble_sat.jpg,generated,cold,,,
71,Ogre Chemical,"Ogre, Latvia",Ogre,56.85359,24.57115,Andris Kurmis,Managing Director,+371 63370719,ogre.chemical@company.lv,1181.25,826875,docs/images/Ogre_Chemical_sat.jpg,generated,cold,,,
72,Jelgava Beverage,"Jelgava, Latvia",Jelgava,56.63735,23.71532,Valdis Siliņš,CEO,+371 67368707,jelgava.beverage@company.lv,1999.55,1399685,docs/images/Jelgava_Beverage_sat.jpg,generated,cold,,,
73,Daugavpils Packaging,"Daugavpils, Latvia",Daugavpils,55.87922,26.48429,Gints Jansons,CEO,+371 68445081,daugavpils.packaging@company.lv,1181.25,826875,docs/images/Daugavpils_Packaging_sat.jpg,generated,cold,,,
74,Daugavpils Printing,"Daugavpils, Latvia",Daugavpils,55.82996,26.49624,Janis Jansons,Owner,+371 68753213,daugavpils.printing@company.lv,1181.25,826875,docs/images/Daugavpils_Printing_sat.jpg,generated,cold,,,
75,Ogre Plastics,"Ogre, Latvia",Ogre,56.85644,24.63972,Kaspars Siliņš,CEO,+371 62555230,ogre.plastics@company.lv,1181.25,826875,docs/images/Ogre_Plastics_sat.jpg,generated,cold,,,
76,Jekabpils Electronics,"Jekabpils, Latvia",Jekabpils,56.49741,25.89093,Valdis Siliņš,Production Director,+371 63198493,jekabpils.electronics@company.lv,1820.35,1274245,docs/images/Jekabpils_Electronics_sat.jpg,generated,cold,,,
77,Riga Metal,"Riga, Latvia",Riga,56.96592,24.1028,Juris Kalns,Managing Director,+371 68249420,riga.metal@company.lv,1288.7,902090,docs/images/Riga_Metal_Works_sat.jpg,generated,cold,,,
78,Ogre Steel,"Ogre, Latvia",Ogre,56.84141,24.55466,Gints Kurmis,CEO,+371 68266406,ogre.steel@company.lv,1181.25,826875,docs/images/Ogre_Steel_sat.jpg,generated,cold,,,
79,Cesis Beverage,"Cesis, Latvia",Cesis,57.35914,25.25245,Armands Siliņš,Operations Manager,+371 65350414,cesis.beverage@company.lv,1512.7,1058890,docs/images/Cesis_Beverage_sat.jpg,generated,cold,,,
80,Cesis Paper,"Cesis, Latvia",Cesis,57.32688,25.26156,Kaspars Jansons,Managing Director,+371 66274216,cesis.paper@company.lv,1181.25,826875,docs/images/Cesis_Paper_sat.jpg,generated,cold,,,
81,Ogre Automotive,"Ogre, Latvia",Ogre,56.77535,24.60433,Valdis Ozols,Owner,+371 62919803,ogre.automotive@company.lv,1181.25,826875,docs/images/Ogre_Automotive_sat.jpg,generated,cold,,,
82,Jekabpils Rubber,"Jekabpils, Latvia",Jekabpils,56.4679,25.89615,Andris Kalns,Production Director,+371 67003041,jekabpils.rubber@company.lv,1181.25,826875,docs/images/Jekabpils_Rubber_sat.jpg,generated,cold,,,
83,Jekabpils Leather,"Jekabpils, Latvia",Jekabpils,56.50457,25.90263,Valdis Kurmis,CEO,+371 66640795,jekabpils.leather@company.lv,1181.25,826875,docs/images/Jekabpils_Leather_sat.jpg,generated,cold,,,
84,Ogre Textiles,"Ogre, Latvia",Ogre,56.80089,24.57138,Janis Ozols,Operations Manager,+371 68298819,ogre.textiles@company.lv,1181.25,826875,docs/images/Ogre_Textiles_sat.jpg,generated,cold,,,
85,Kekava Textiles,"Kekava, Latvia",Kekava,56.86039,24.26775,Juris Zariņš,Owner,+371 64462057,kekava.textiles@company.lv,1181.25,826875,docs/images/Kekava_Textiles_sat.jpg,generated,cold,,,
86,Kekava Marble,"Kekava, Latvia",Kekava,56.82442,24.19659,Aivars Kalns,Production Director,+371 62027223,kekava.marble@company.lv,1181.25,826875,docs/images/Kekava_Marble_sat.jpg,generated,cold,,,
87,Liepaja Electronics,"Liepaja, Latvia",Liepaja,56.49662,21.01207,Juris Kurmis,Managing Director,+371 66258742,liepaja.electronics@company.lv,2739.8,1917860,docs/images/Liepaja_Electronics_sat.jpg,generated,cold,,,
88,Kekava Printing,"Kekava, Latvia",Kekava,56.7989,24.23136,Peteris Vitols,Operations Manager,+371 67108412,kekava.printing@company.lv,1181.25,826875,docs/images/Kekava_Printing_sat.jpg,generated,cold,,,
89,Daugavpils Paper,"Daugavpils, Latvia",Daugavpils,55.89183,26.49508,Maris Kalns,CEO,+371 68396404,daugavpils.paper@company.lv,1181.25,826875,docs/images/Daugavpils_Paper_sat.jpg,generated,cold,,,
90,Riga Rubber,"Riga, Latvia",Riga,56.95036,24.10965,Andris Kurmis,Operations Manager,+371 62004797,riga.rubber@company.lv,1588.3,1111810,docs/images/Riga_Rubber_sat.jpg,generated,cold,,,
91,Kekava Leather,"Kekava, Latvia",Kekava,56.80207,24.28062,Armands Zariņš,Production Director,+371 62163382,kekava.leather@company.lv,1181.25,826875,docs/images/Kekava_Leather_sat.jpg,generated,cold,,,
92,Cesis Packaging,"Cesis, Latvia",Cesis,57.27245,25.2647,Peteris Zariņš,CEO,+371 64008671,cesis.packaging@company.lv,1181.25,826875,docs/images/Cesis_Packaging_sat.jpg,generated,cold,,,
93,Valmiera Concrete,"Valmiera, Latvia",Valmiera,57.50331,25.45422,Janis Jansons,Operations Manager,+371 62660662,valmiera.concrete@company.lv,1439.55,1007685,docs/images/Valmiera_Concrete_sat.jpg,generated,cold,,,
94,Ventspils Electronics,"Ventspils, Latvia",Ventspils,57.42375,21.57489,Peteris Eglitis,Owner,+371 68380393,ventspils.electronics@company.lv,2115.4,1480780,docs/images/Ventspils_Electronics_sat.jpg,generated,cold,,,
95,Jelgava Aluminum,"Jelgava, Latvia",Jelgava,56.61425,23.68386,Gints Kalns,Managing Director,+371 67534391,jelgava.aluminum@company.lv,3147.9,2203530,docs/images/Jelgava_Aluminum_sat.jpg,generated,cold,,,
96,Ventspils Marble,"Ventspils, Latvia",Ventspils,57.40925,21.52762,Valdis Kurmis,Managing Director,+371 64223456,ventspils.marble@company.lv,1181.25,826875,docs/images/Ventspils_Marble_sat.jpg,generated,cold,,,
97,Cesis Marble,"Cesis, Latvia",Cesis,57.33072,25.24957,Gints Staņa,Production Director,+371 63776692,cesis.marble@company.lv,1181.25,826875,docs/images/Cesis_Marble_sat.jpg,generated,cold,,,
98,Kekava Glass,"Kekava, Latvia",Kekava,56.79948,24.21193,Peteris Jansons,Managing Director,+371 62537088,kekava.glass@company.lv,1181.25,826875,docs/images/Kekava_Glass_sat.jpg,generated,cold,,,
99,Kekava Construction,"Kekava, Latvia",Kekava,56.86784,24.21154,Kaspars Berzins,Operations Manager,+371 66646630,kekava.construction@company.lv,1181.25,826875,docs/images/Kekava_Construction_sat.jpg,generated,cold,,,
100,Jekabpils Packaging,"Jekabpils, Latvia",Jekabpils,56.52466,25.86041,Maris Staņa,Managing Director,+371 62060321,jekabpils.packaging@company.lv,1181.25,826875,docs/images/Jekabpils_Packaging_sat.jpg,generated,cold,,,
101,Valmiera Textiles,"Valmiera, Latvia",Valmiera,57.57701,25.37489,Peteris Berzins,Managing Director,+371 62565394,valmiera.textiles@company.lv,1181.25,826875,docs/images/Valmiera_Textiles_sat.jpg,generated,cold,,,
102,Valmiera Printing,"Valmiera, Latvia",Valmiera,57.58839,25.39125,Janis Zariņš,Owner,+371 66313054,valmiera.printing@company.lv,1183.0,828100,docs/images/Valmiera_Printing_sat.jpg,generated,cold,,,
103,Liepaja Printing,"Liepaja, Latvia",Liepaja,56.52115,20.99487,Maris Vitols,Production Director,+371 63797148,liepaja.printing@company.lv,1181.25,826875,docs/images/Liepaja_Printing_sat.jpg,generated,cold,,,
104,Kekava Plastics,"Kekava, Latvia",Kekava,56.84563,24.28481,Gints Kalns,Operations Manager,+371 66833613,kekava.plastics@company.lv,3147.2,2203040,docs/images/Kekava_Plastics_sat.jpg,generated,cold,,,
105,Ventspils Glass,"Ventspils, Latvia",Ventspils,57.43693,21.5466,Valdis Jansons,Production Director,+371 68773775,ventspils.glass@company.lv,1181.25,826875,docs/images/Ventspils_Glass_sat.jpg,generated,cold,,,
106,Cesis Construction,"Cesis, Latvia",Cesis,57.26805,25.28359,Aivars Jansons,Owner,+371 62813114,cesis.construction@company.lv,2326.1,1628270,docs/images/Cesis_Construction_sat.jpg,generated,cold,,,
107,Jelgava Packaging,"Jelgava, Latvia",Jelgava,56.6655,23.7646,Aivars Zariņš,Production Director,+371 65448575,jelgava.packaging@company.lv,1181.25,826875,docs/images/Jelgava_Packaging_sat.jpg,generated,cold,,,
108,Valmiera Electronics,"Valmiera, Latvia",Valmiera,57.51677,25.37622,Valdis Berzins,Owner,+371 62508455,valmiera.electronics@company.lv,1769.25,1238475,docs/images/Valmiera_Electronics_sat.jpg,generated,cold,,,
109,Jelgava Marble,"Jelgava, Latvia",Jelgava,56.65047,23.7236,Aivars Zariņš,Owner,+371 64085880,jelgava.marble@company.lv,1181.25,826875,docs/images/Jelgava_Marble_sat.jpg,generated,cold,,,
110,Ventspils Furniture,"Ventspils, Latvia",Ventspils,57.4178,21.49944,Valdis Jansons,Owner,+371 65717250,ventspils.furniture@company.lv,1181.25,826875,docs/images/Ventspils_Furniture_sat.jpg,generated,cold,,,
111,Daugavpils Concrete,"Daugavpils, Latvia",Daugavpils,55.85397,26.47223,Gints Ozols,Owner,+371 67470587,daugavpils.concrete@company.lv,3148.25,2203775,docs/images/Daugavpils_Concrete_sat.jpg,generated,cold,,,
112,Jekabpils Aluminum,"Jekabpils, Latvia",Jekabpils,56.51731,25.88348,Maris Kalns,Production Director,+371 66073853,jekabpils.aluminum@company.lv,1892.1,1324470,docs/images/Jekabpils_Aluminum_sat.jpg,generated,cold,,,
113,Jelgava Printing,"Jelgava, Latvia",Jelgava,56.70084,23.74599,Valdis Jansons,Production Director,+371 62491869,jelgava.printing@company.lv,2953.65,2067555,docs/images/Jelgava_Printing_sat.jpg,generated,cold,,,
114,Riga Electronics,"Riga, Latvia",Riga,56.94865,24.08421,Juris Eglitis,CEO,+371 65548443,riga.electronics@company.lv,1586.55,1110585,docs/images/Riga_Electronics_sat.jpg,generated,cold,,,
115,Ogre Electronics,"Ogre, Latvia",Ogre,56.77026,24.63823,Gints Berzins,CEO,+371 62479537,ogre.electronics@company.lv,1181.25,826875,docs/images/Ogre_Electronics_sat.jpg,generated,cold,,,
116,Jelgava Metal,"Jelgava, Latvia",Jelgava,56.62532,23.72963,Gints Kalns,Owner,+371 66259974,jelgava.metal@company.lv,1181.25,826875,docs/images/Jelgava_Metal_sat.jpg,generated,cold,,,
117,Ogre Rubber,"Ogre, Latvia",Ogre,56.80309,24.63938,Peteris Kalns,Owner,+371 66991516,ogre.rubber@company.lv,3150.0,2205000,docs/images/Ogre_Rubber_sat.jpg,generated,cold,,,
118,Valmiera Rubber,"Valmiera, Latvia",Valmiera,57.56576,25.40958,Armands Jansons,Operations Manager,+371 66987188,valmiera.rubber@company.lv,3149.65,2204755,docs/images/Valmiera_Rubber_sat.jpg,generated,cold,,,
119,Ventspils Packaging,"Ventspils, Latvia",Ventspils,57.36419,21.59346,Janis Staņa,Owner,+371 65516713,ventspils.packaging@company.lv,2554.3,1788010,docs/images/Ventspils_Packaging_sat.jpg,generated,cold,,,
120,Jekabpils Construction,"Jekabpils, Latvia",Jekabpils,56.47781,25.89993,Juris Siliņš,Managing Director,+371 67634545,jekabpils.construction@company.lv,1181.25,826875,docs/images/Jekabpils_Construction_sat.jpg,generated,cold,,,
121,Cesis Leather,"Cesis, Latvia",Cesis,57.2715,25.22864,Juris Eglitis,CEO,+371 68307096,cesis.leather@company.lv,1181.25,826875,docs/images/Cesis_Leather_sat.jpg,generated,cold,,,
122,Ventspils Beverage,"Ventspils, Latvia",Ventspils,57.37068,21.5522,Armands Ozols,Owner,+371 66510004,ventspils.beverage@company.lv,1181.25,826875,docs/images/Ventspils_Beverage_sat.jpg,generated,cold,,,
123,Liepaja Beverage,"Liepaja, Latvia",Liepaja,56.50842,21.03002,Maris Kurmis,CEO,+371 63111126,liepaja.beverage@company.lv,1181.25,826875,docs/images/Liepaja_Beverage_sat.jpg,generated,cold,,,
124,Cesis Electronics,"Cesis, Latvia",Cesis,57.32173,25.23663,Kaspars Ozols,Managing Director,+371 65099817,cesis.electronics@company.lv,3149.65,2204755,docs/images/Cesis_Electronics_sat.jpg,generated,cold,,,
125,Riga Packaging,"Riga, Latvia",Riga,56.93647,24.0624,Juris Kalns,Production Director,+371 68993959,riga.packaging@company.lv,1181.25,826875,docs/images/Riga_Packaging_sat.jpg,generated,cold,,,
